subject	time	y
1	1	1.14565207633542
1	2	1.31639152389752
1	3	0.371607365075994
2	1	0.983803082933606
2	2	0.971164998356153
2	3	1.1357428503022
3	1	1.27047297967949
3	2	0.152911105583727
3	3	0.671912625657362
4	1	1.31671178744187
4	2	1.45348097773268
4	3	1.53674937267558
5	1	2.2333798573531
5	2	2.13520706446157
5	3	0.96586785938117
6	1	0.709226878111582
6	2	0.722316225813837
6	3	1.01333340357044
7	1	1.73729550114518
7	2	0.0258127469849919
7	3	0.16189985377143
8	1	0.767011028944876
8	2	0.774422540612503
8	3	0.574774674621815
9	1	0.974376830980755
9	2	1.12289505744442
9	3	0.328754161620312
10	1	0.720723093985788
10	2	0.789572855943895
10	3	1.23687948684257
