nr;N; n; alpha; beta; NSim; a; b; seed; FUN;tmp
80;30;15;0.1;0;100;2;0.4;11158610;SimData_Nchi;0
81;30;15;0.15;0;100;2;0.4;15172492;SimData_Nchi;0
82;30;20;0.05;0;100;2;0.4;7511299;SimData_Nchi;0
83;30;20;0.1;0;100;2;0.4;15649339;SimData_Nchi;0
84;30;20;0.15;0;100;2;0.4;9944916;SimData_Nchi;0
85;50;5;0.05;0;100;2;0.4;15818141;SimData_Nchi;0
86;50;5;0.1;0;100;2;0.4;15720999;SimData_Nchi;0
87;50;5;0.15;0;100;2;0.4;11094721;SimData_Nchi;0
88;50;10;0.05;0;100;2;0.4;16024317;SimData_Nchi;0
89;50;10;0.1;0;100;2;0.4;10828176;SimData_Nchi;0
90;50;10;0.15;0;100;2;0.4;12911551;SimData_Nchi;0
91;50;15;0.05;0;100;2;0.4;15148390;SimData_Nchi;0
92;50;15;0.1;0;100;2;0.4;16273874;SimData_Nchi;0
93;50;15;0.15;0;100;2;0.4;7630330;SimData_Nchi;0
94;50;20;0.05;0;100;2;0.4;11561155;SimData_Nchi;0
95;50;20;0.1;0;100;2;0.4;11003081;SimData_Nchi;0
96;50;20;0.15;0;100;2;0.4;5815971;SimData_Nchi;0
97;30;5;0.05;0;100;2;0.4;8828543;SimData_tN;0
98;30;5;0.1;0;100;2;0.4;10351996;SimData_tN;0
99;30;5;0.15;0;100;2;0.4;7239893;SimData_tN;0
100;30;10;0.05;0;100;2;0.4;11454146;SimData_tN;0
101;30;10;0.1;0;100;2;0.4;9522875;SimData_tN;0
102;30;10;0.15;0;100;2;0.4;9742967;SimData_tN;0
103;30;15;0.05;0;100;2;0.4;15823153;SimData_tN;0
104;30;15;0.1;0;100;2;0.4;11278653;SimData_tN;0
105;30;15;0.15;0;100;2;0.4;6340352;SimData_tN;0
106;30;20;0.05;0;100;2;0.4;8121883;SimData_tN;0
107;30;20;0.1;0;100;2;0.4;16336612;SimData_tN;0
108;30;20;0.15;0;100;2;0.4;12220419;SimData_tN;0
109;50;5;0.05;0;100;2;0.4;7029299;SimData_tN;0
110;50;5;0.1;0;100;2;0.4;14155975;SimData_tN;0
111;50;5;0.15;0;100;2;0.4;9017538;SimData_tN;0
112;50;10;0.05;0;100;2;0.4;7148674;SimData_tN;0
113;50;10;0.1;0;100;2;0.4;9814635;SimData_tN;0
114;50;10;0.15;0;100;2;0.4;5900396;SimData_tN;0
115;50;15;0.05;0;100;2;0.4;6355590;SimData_tN;0
116;50;15;0.1;0;100;2;0.4;8189236;SimData_tN;0
117;50;15;0.15;0;100;2;0.4;12391035;SimData_tN;0
118;50;20;0.05;0;100;2;0.4;88239870;SimData_tN;0
119;50;20;0.1;0;100;2;0.4;12125128;SimData_tN;0
120;50;20;0.15;0;100;2;0.4;9317961;SimData_tN;0
121;30;5;0.05;0;100;2;0.4;10362548;SimData_tchi;0
122;30;5;0.1;0;100;2;0.4;12829312;SimData_tchi;0
123;30;5;0.15;0;100;2;0.4;11237470;SimData_tchi;0
124;30;10;0.05;0;100;2;0.4;10207704;SimData_tchi;0
125;30;10;0.1;0;100;2;0.4;11388641;SimData_tchi;0
126;30;10;0.15;0;100;2;0.4;14960385;SimData_tchi;0
127;30;15;0.05;0;100;2;0.4;6890740;SimData_tchi;0
128;30;15;0.1;0;100;2;0.4;6201476;SimData_tchi;0
129;30;15;0.15;0;100;2;0.4;12797015;SimData_tchi;0
130;30;20;0.05;0;100;2;0.4;16241255;SimData_tchi;0
131;30;20;0.1;0;100;2;0.4;6361125;SimData_tchi;0
132;30;20;0.15;0;100;2;0.4;7217046;SimData_tchi;0
133;50;5;0.05;0;100;2;0.4;10007637;SimData_tchi;0
134;50;5;0.1;0;100;2;0.4;11595919;SimData_tchi;0
135;50;5;0.15;0;100;2;0.4;14248027;SimData_tchi;0
136;50;10;0.05;0;100;2;0.4;12115461;SimData_tchi;0
137;50;10;0.1;0;100;2;0.4;15373518;SimData_tchi;0
138;50;10;0.15;0;100;2;0.4;16041912;SimData_tchi;0
139;50;15;0.05;0;100;2;0.4;8619524;SimData_tchi;0
140;50;15;0.1;0;100;2;0.4;11163270;SimData_tchi;0
141;50;15;0.15;0;100;2;0.4;9212175;SimData_tchi;0
142;50;20;0.05;0;100;2;0.4;76368990;SimData_tchi;0
143;50;20;0.1;0;100;2;0.4;5865100;SimData_tchi;0
144;50;20;0.15;0;100;2;0.4;11451536;SimData_tchi;0
145;30;10;0.05;0;100;2;0.8;8977982;SimData_NvarN;0
146;30;10;0.05;0;100;2;1.6;9284708;SimData_NvarN;0
147;30;10;0.05;0;100;2.4;0.4;16280683;SimData_NvarN;0
148;30;10;0.05;0;100;2.4;0.8;6604480;SimData_NvarN;0
149;30;10;0.05;0;100;2.4;1.6;6981695;SimData_NvarN;0
150;30;10;0.05;0;100;2.8;0.4;11091162;SimData_NvarN;0
151;30;10;0.05;0;100;2.8;0.8;14532694;SimData_NvarN;0
152;30;10;0.05;0;100;2.8;1.6;6190832;SimData_NvarN;0
